"OTU","Sample","Abundance","Kingdom","Phylum"
"c1f83bd0eac0f5b9b6bb409c55d831e0","S00PP-0016",0.280952796440101,"teria","teobacteria"
"3ab61ffb86b753b43f425d630a87e7a1","S00PP-0024",0.276090557702927,"teria","nobacteria"
"3ab61ffb86b753b43f425d630a87e7a1","S00PP-0027",0.263510365711624,"teria","nobacteria"
"8bd14caf6a3b2664d15ef6c5d7a23eef","S00PP-0019",0.255654219146797,"teria","ulfobacterota"
"c1f83bd0eac0f5b9b6bb409c55d831e0","S00PP-0019",0.247132411841903,"teria","teobacteria"
"3ab61ffb86b753b43f425d630a87e7a1","S00PP-0019",0.245428050380925,"teria","nobacteria"
"3ab61ffb86b753b43f425d630a87e7a1","S00PP-0022",0.244226459655668,"teria","nobacteria"
"9aa3baf0e1ca0d9f7c5b119e42c52153","S00PP-0020",0.239115464075293,"teria","pilobacterota"
"183d7a6a20b38695342d58bce245f3be","S00PP-0021",0.235523623733168,"teria","rochaetota"
"9aa3baf0e1ca0d9f7c5b119e42c52153","S00PP-0025",0.231938341856947,"teria","pilobacterota"
"8bd14caf6a3b2664d15ef6c5d7a23eef","S00PP-0015",0.209969816838829,"teria","ulfobacterota"
"777bf3ba74100b7a4dbd872959a84eeb","S00PP-0026",0.209571938168847,"haea","yarchaeota"
"8bd14caf6a3b2664d15ef6c5d7a23eef","S00PP-0003",0.186956449162869,"teria","ulfobacterota"
"3ab61ffb86b753b43f425d630a87e7a1","S00PP-0010",0.184453227931489,"teria","nobacteria"
"ae71c2e538a51e571a12a1d35ecb3975","S00PP-0013",0.181385718441452,"teria","simicrobiota"
"3ab61ffb86b753b43f425d630a87e7a1","S00PP-0014",0.173175420830949,"teria","nobacteria"
"8bd14caf6a3b2664d15ef6c5d7a23eef","S00PP-0008",0.171083284799068,"teria","ulfobacterota"
"ae71c2e538a51e571a12a1d35ecb3975","S00PP-0027",0.16014442115071,"teria","simicrobiota"
"8bd14caf6a3b2664d15ef6c5d7a23eef","S00PP-0004",0.159222991800016,"teria","ulfobacterota"
"9aa3baf0e1ca0d9f7c5b119e42c52153","S00PP-0001",0.157829629313654,"teria","pilobacterota"
"183d7a6a20b38695342d58bce245f3be","S00PP-0017",0.152018010072644,"teria","rochaetota"
"8bd14caf6a3b2664d15ef6c5d7a23eef","S00PP-0023",0.145774855388242,"teria","ulfobacterota"
