"OTU","Sample","Abundance","Kingdom","Phylum","Class","Order","Family","Genus"
"bc0aa157d29d6604c19bf4e18b37bc88","S00PP-0028",0,"teria","micutes","illi","sipelotrichales","sipelatoclostridiaceae","-004"
"bc0aa157d29d6604c19bf4e18b37bc88","S00PP-0001",0,"teria","micutes","illi","sipelotrichales","sipelatoclostridiaceae","-004"
"bc0aa157d29d6604c19bf4e18b37bc88","S00PP-0023",0,"teria","micutes","illi","sipelotrichales","sipelatoclostridiaceae","-004"
"bc0aa157d29d6604c19bf4e18b37bc88","S00PP-0021",0,"teria","micutes","illi","sipelotrichales","sipelatoclostridiaceae","-004"
"bc0aa157d29d6604c19bf4e18b37bc88","S00PP-0016",0,"teria","micutes","illi","sipelotrichales","sipelatoclostridiaceae","-004"
"bc0aa157d29d6604c19bf4e18b37bc88","S00PP-0010",0,"teria","micutes","illi","sipelotrichales","sipelatoclostridiaceae","-004"
"bc0aa157d29d6604c19bf4e18b37bc88","S00PP-0014",0,"teria","micutes","illi","sipelotrichales","sipelatoclostridiaceae","-004"
"bc0aa157d29d6604c19bf4e18b37bc88","S00PP-0026",0,"teria","micutes","illi","sipelotrichales","sipelatoclostridiaceae","-004"
"bc0aa157d29d6604c19bf4e18b37bc88","S00PP-0002",0,"teria","micutes","illi","sipelotrichales","sipelatoclostridiaceae","-004"
"bc0aa157d29d6604c19bf4e18b37bc88","S00PP-0027",0,"teria","micutes","illi","sipelotrichales","sipelatoclostridiaceae","-004"
"bc0aa157d29d6604c19bf4e18b37bc88","S00PP-0003",0,"teria","micutes","illi","sipelotrichales","sipelatoclostridiaceae","-004"
"bc0aa157d29d6604c19bf4e18b37bc88","S00PP-0024",0,"teria","micutes","illi","sipelotrichales","sipelatoclostridiaceae","-004"
"bc0aa157d29d6604c19bf4e18b37bc88","S00PP-0029",0,"teria","micutes","illi","sipelotrichales","sipelatoclostridiaceae","-004"
"bc0aa157d29d6604c19bf4e18b37bc88","S00PP-0013",0,"teria","micutes","illi","sipelotrichales","sipelatoclostridiaceae","-004"
"bc0aa157d29d6604c19bf4e18b37bc88","S00PP-0008",0,"teria","micutes","illi","sipelotrichales","sipelatoclostridiaceae","-004"
"bc0aa157d29d6604c19bf4e18b37bc88","S00PP-0015",0,"teria","micutes","illi","sipelotrichales","sipelatoclostridiaceae","-004"
"bc0aa157d29d6604c19bf4e18b37bc88","S00PP-0017",0,"teria","micutes","illi","sipelotrichales","sipelatoclostridiaceae","-004"
"bc0aa157d29d6604c19bf4e18b37bc88","S00PP-0004",0,"teria","micutes","illi","sipelotrichales","sipelatoclostridiaceae","-004"
"bc0aa157d29d6604c19bf4e18b37bc88","S00PP-0012",0,"teria","micutes","illi","sipelotrichales","sipelatoclostridiaceae","-004"
"bd5234b0aaa60ba523cb74655725193c","S00PP-0014",0,"teria","teobacteria","maproteobacteria","omonadales","cinivibrionaceae","erobiospirillum"
"bd5234b0aaa60ba523cb74655725193c","S00PP-0016",0,"teria","teobacteria","maproteobacteria","omonadales","cinivibrionaceae","erobiospirillum"
"bd5234b0aaa60ba523cb74655725193c","S00PP-0013",0,"teria","teobacteria","maproteobacteria","omonadales","cinivibrionaceae","erobiospirillum"
"bd5234b0aaa60ba523cb74655725193c","S00PP-0005",0,"teria","teobacteria","maproteobacteria","omonadales","cinivibrionaceae","erobiospirillum"
"bd5234b0aaa60ba523cb74655725193c","S00PP-0015",0,"teria","teobacteria","maproteobacteria","omonadales","cinivibrionaceae","erobiospirillum"
"bd5234b0aaa60ba523cb74655725193c","S00PP-0017",0,"teria","teobacteria","maproteobacteria","omonadales","cinivibrionaceae","erobiospirillum"
"bd5234b0aaa60ba523cb74655725193c","S00PP-0030",0,"teria","teobacteria","maproteobacteria","omonadales","cinivibrionaceae","erobiospirillum"
"bd5234b0aaa60ba523cb74655725193c","S00PP-0023",0,"teria","teobacteria","maproteobacteria","omonadales","cinivibrionaceae","erobiospirillum"
"bd5234b0aaa60ba523cb74655725193c","S00PP-0021",0,"teria","teobacteria","maproteobacteria","omonadales","cinivibrionaceae","erobiospirillum"
"bd5234b0aaa60ba523cb74655725193c","S00PP-0018",0,"teria","teobacteria","maproteobacteria","omonadales","cinivibrionaceae","erobiospirillum"
"bd5234b0aaa60ba523cb74655725193c","S00PP-0019",0,"teria","teobacteria","maproteobacteria","omonadales","cinivibrionaceae","erobiospirillum"
"bd5234b0aaa60ba523cb74655725193c","S00PP-0029",0,"teria","teobacteria","maproteobacteria","omonadales","cinivibrionaceae","erobiospirillum"
"bd5234b0aaa60ba523cb74655725193c","S00PP-0022",0,"teria","teobacteria","maproteobacteria","omonadales","cinivibrionaceae","erobiospirillum"
"bd5234b0aaa60ba523cb74655725193c","S00PP-0020",0,"teria","teobacteria","maproteobacteria","omonadales","cinivibrionaceae","erobiospirillum"
"bd5234b0aaa60ba523cb74655725193c","S00PP-0003",0,"teria","teobacteria","maproteobacteria","omonadales","cinivibrionaceae","erobiospirillum"
"bd5234b0aaa60ba523cb74655725193c","S00PP-0007",0,"teria","teobacteria","maproteobacteria","omonadales","cinivibrionaceae","erobiospirillum"
"bd5234b0aaa60ba523cb74655725193c","S00PP-0028",0,"teria","teobacteria","maproteobacteria","omonadales","cinivibrionaceae","erobiospirillum"
"bd5234b0aaa60ba523cb74655725193c","S00PP-0004",0,"teria","teobacteria","maproteobacteria","omonadales","cinivibrionaceae","erobiospirillum"
"bd5234b0aaa60ba523cb74655725193c","S00PP-0001",0,"teria","teobacteria","maproteobacteria","omonadales","cinivibrionaceae","erobiospirillum"
"bd5234b0aaa60ba523cb74655725193c","S00PP-0027",0,"teria","teobacteria","maproteobacteria","omonadales","cinivibrionaceae","erobiospirillum"
"bd5234b0aaa60ba523cb74655725193c","S00PP-0010",0,"teria","teobacteria","maproteobacteria","omonadales","cinivibrionaceae","erobiospirillum"
"bd5234b0aaa60ba523cb74655725193c","S00PP-0006",0,"teria","teobacteria","maproteobacteria","omonadales","cinivibrionaceae","erobiospirillum"
"bd5234b0aaa60ba523cb74655725193c","S00PP-0002",0,"teria","teobacteria","maproteobacteria","omonadales","cinivibrionaceae","erobiospirillum"
"bd5234b0aaa60ba523cb74655725193c","S00PP-0009",0,"teria","teobacteria","maproteobacteria","omonadales","cinivibrionaceae","erobiospirillum"
"bd5234b0aaa60ba523cb74655725193c","S00PP-0008",0,"teria","teobacteria","maproteobacteria","omonadales","cinivibrionaceae","erobiospirillum"
"c1f83bd0eac0f5b9b6bb409c55d831e0","S00PP-0010",0,"teria","teobacteria","maproteobacteria","kholderiales","terellaceae","asutterella"
"c5363f7ffdbbfd086ba384f7833f11d6","S00PP-0018",0,"teria","micutes","illi","sipelotrichales","sipelatoclostridiaceae","sipelatoclostridiaceae"
"c5363f7ffdbbfd086ba384f7833f11d6","S00PP-0012",0,"teria","micutes","illi","sipelotrichales","sipelatoclostridiaceae","sipelatoclostridiaceae"
"c5363f7ffdbbfd086ba384f7833f11d6","S00PP-0009",0,"teria","micutes","illi","sipelotrichales","sipelatoclostridiaceae","sipelatoclostridiaceae"
"c5363f7ffdbbfd086ba384f7833f11d6","S00PP-0006",0,"teria","micutes","illi","sipelotrichales","sipelatoclostridiaceae","sipelatoclostridiaceae"
"c5363f7ffdbbfd086ba384f7833f11d6","S00PP-0019",0,"teria","micutes","illi","sipelotrichales","sipelatoclostridiaceae","sipelatoclostridiaceae"
"c5363f7ffdbbfd086ba384f7833f11d6","S00PP-0025",0,"teria","micutes","illi","sipelotrichales","sipelatoclostridiaceae","sipelatoclostridiaceae"
"c5363f7ffdbbfd086ba384f7833f11d6","S00PP-0005",0,"teria","micutes","illi","sipelotrichales","sipelatoclostridiaceae","sipelatoclostridiaceae"
"c5363f7ffdbbfd086ba384f7833f11d6","S00PP-0015",0,"teria","micutes","illi","sipelotrichales","sipelatoclostridiaceae","sipelatoclostridiaceae"
"c5363f7ffdbbfd086ba384f7833f11d6","S00PP-0016",0,"teria","micutes","illi","sipelotrichales","sipelatoclostridiaceae","sipelatoclostridiaceae"
"c5363f7ffdbbfd086ba384f7833f11d6","S00PP-0021",0,"teria","micutes","illi","sipelotrichales","sipelatoclostridiaceae","sipelatoclostridiaceae"
"c5363f7ffdbbfd086ba384f7833f11d6","S00PP-0017",0,"teria","micutes","illi","sipelotrichales","sipelatoclostridiaceae","sipelatoclostridiaceae"
"c5363f7ffdbbfd086ba384f7833f11d6","S00PP-0024",0,"teria","micutes","illi","sipelotrichales","sipelatoclostridiaceae","sipelatoclostridiaceae"
"c5363f7ffdbbfd086ba384f7833f11d6","S00PP-0027",0,"teria","micutes","illi","sipelotrichales","sipelatoclostridiaceae","sipelatoclostridiaceae"
"c5363f7ffdbbfd086ba384f7833f11d6","S00PP-0007",0,"teria","micutes","illi","sipelotrichales","sipelatoclostridiaceae","sipelatoclostridiaceae"
"c5363f7ffdbbfd086ba384f7833f11d6","S00PP-0004",0,"teria","micutes","illi","sipelotrichales","sipelatoclostridiaceae","sipelatoclostridiaceae"
"c5363f7ffdbbfd086ba384f7833f11d6","S00PP-0013",0,"teria","micutes","illi","sipelotrichales","sipelatoclostridiaceae","sipelatoclostridiaceae"
"c5363f7ffdbbfd086ba384f7833f11d6","S00PP-0023",0,"teria","micutes","illi","sipelotrichales","sipelatoclostridiaceae","sipelatoclostridiaceae"
"c5363f7ffdbbfd086ba384f7833f11d6","S00PP-0029",0,"teria","micutes","illi","sipelotrichales","sipelatoclostridiaceae","sipelatoclostridiaceae"
"c5363f7ffdbbfd086ba384f7833f11d6","S00PP-0020",0,"teria","micutes","illi","sipelotrichales","sipelatoclostridiaceae","sipelatoclostridiaceae"
"c5363f7ffdbbfd086ba384f7833f11d6","S00PP-0022",0,"teria","micutes","illi","sipelotrichales","sipelatoclostridiaceae","sipelatoclostridiaceae"
"c5363f7ffdbbfd086ba384f7833f11d6","S00PP-0026",0,"teria","micutes","illi","sipelotrichales","sipelatoclostridiaceae","sipelatoclostridiaceae"
"c5363f7ffdbbfd086ba384f7833f11d6","S00PP-0001",0,"teria","micutes","illi","sipelotrichales","sipelatoclostridiaceae","sipelatoclostridiaceae"
"c5363f7ffdbbfd086ba384f7833f11d6","S00PP-0008",0,"teria","micutes","illi","sipelotrichales","sipelatoclostridiaceae","sipelatoclostridiaceae"
"c5363f7ffdbbfd086ba384f7833f11d6","S00PP-0003",0,"teria","micutes","illi","sipelotrichales","sipelatoclostridiaceae","sipelatoclostridiaceae"
"c5363f7ffdbbfd086ba384f7833f11d6","S00PP-0010",0,"teria","micutes","illi","sipelotrichales","sipelatoclostridiaceae","sipelatoclostridiaceae"
"c5363f7ffdbbfd086ba384f7833f11d6","S00PP-0011",0,"teria","micutes","illi","sipelotrichales","sipelatoclostridiaceae","sipelatoclostridiaceae"
"c5363f7ffdbbfd086ba384f7833f11d6","S00PP-0028",0,"teria","micutes","illi","sipelotrichales","sipelatoclostridiaceae","sipelatoclostridiaceae"
"c5363f7ffdbbfd086ba384f7833f11d6","S00PP-0002",0,"teria","micutes","illi","sipelotrichales","sipelatoclostridiaceae","sipelatoclostridiaceae"
"c5363f7ffdbbfd086ba384f7833f11d6","S00PP-0014",0,"teria","micutes","illi","sipelotrichales","sipelatoclostridiaceae","sipelatoclostridiaceae"
"c72a384d64a1a7d58c56ec4e7d2ea277","S00PP-0015",0,"teria","micutes","stridia","hnospirales","hnospiraceae","enbergiella"
"c72a384d64a1a7d58c56ec4e7d2ea277","S00PP-0013",0,"teria","micutes","stridia","hnospirales","hnospiraceae","enbergiella"
"c72a384d64a1a7d58c56ec4e7d2ea277","S00PP-0014",0,"teria","micutes","stridia","hnospirales","hnospiraceae","enbergiella"
"c72a384d64a1a7d58c56ec4e7d2ea277","S00PP-0018",0,"teria","micutes","stridia","hnospirales","hnospiraceae","enbergiella"
"c72a384d64a1a7d58c56ec4e7d2ea277","S00PP-0012",0,"teria","micutes","stridia","hnospirales","hnospiraceae","enbergiella"
"c72a384d64a1a7d58c56ec4e7d2ea277","S00PP-0030",0,"teria","micutes","stridia","hnospirales","hnospiraceae","enbergiella"
"c72a384d64a1a7d58c56ec4e7d2ea277","S00PP-0010",0,"teria","micutes","stridia","hnospirales","hnospiraceae","enbergiella"
