"OTU","Sample","Abundance","Kingdom","Phylum","Class","Order"
"fe1644129eb6fb34078f939c04915813","S00PP-0011",204,"teria","teobacteria","haproteobacteria","dospirillales"
"efe7cb6441176642e881f2abe0b4566f","S00PP-0018",203,"teria","micutes","illi","sipelotrichales"
"218d7fe9eb2b82133c504cb4c7ab8076","S00PP-0010",202,"teria","micutes","stridia","stridia_UCG-014"
"3ab61ffb86b753b43f425d630a87e7a1","S00PP-0013",202,"teria","nobacteria","pirivibrionia","tranaerophilales"
"9aa3baf0e1ca0d9f7c5b119e42c52153","S00PP-0004",202,"teria","pilobacterota","pylobacteria","pylobacterales"
"667c7ff5d8981b1c1eb8efc23b295ca2","S00PP-0015",199,"teria","micutes","ativicutes","daminococcales"
"efe7cb6441176642e881f2abe0b4566f","S00PP-0003",199,"teria","micutes","illi","sipelotrichales"
"2bf1dfcdeca6629135f4014f138344ae","S00PP-0015",198,"teria","micutes","illi","tobacillales"
"2717c55a33435a4cf9c4953837bac9f4","S00PP-0030",196,"teria","micutes","stridia","stridia_vadinBB60_group"
"f50d1d42a442560b41612992aa2a07c3","S00PP-0007",196,"haea","rmoplasmatota","rmoplasmata","hanomassiliicoccales"
"032fc3717d8136fccddb555b0aa201a3","S00PP-0021",195,"teria","micutes","stridia","oglobales"
"c1f83bd0eac0f5b9b6bb409c55d831e0","S00PP-0014",194,"teria","teobacteria","maproteobacteria","kholderiales"
"efe7cb6441176642e881f2abe0b4566f","S00PP-0008",193,"teria","micutes","illi","sipelotrichales"
"30d87e91be256a2b5f96b636ef04cda2","S00PP-0003",191,"teria","micutes","stridia","tostreptococcales-Tissierellales"
"667c7ff5d8981b1c1eb8efc23b295ca2","S00PP-0011",190,"teria","micutes","ativicutes","daminococcales"
"667c7ff5d8981b1c1eb8efc23b295ca2","S00PP-0003",190,"teria","micutes","ativicutes","daminococcales"
"218d7fe9eb2b82133c504cb4c7ab8076","S00PP-0012",189,"teria","micutes","stridia","stridia_UCG-014"
"9aa3baf0e1ca0d9f7c5b119e42c52153","S00PP-0011",187,"teria","pilobacterota","pylobacteria","pylobacterales"
"9aa3baf0e1ca0d9f7c5b119e42c52153","S00PP-0029",186,"teria","pilobacterota","pylobacteria","pylobacterales"
"efe7cb6441176642e881f2abe0b4566f","S00PP-0016",186,"teria","micutes","illi","sipelotrichales"
"667c7ff5d8981b1c1eb8efc23b295ca2","S00PP-0004",184,"teria","micutes","ativicutes","daminococcales"
"3ab61ffb86b753b43f425d630a87e7a1","S00PP-0022",182,"teria","nobacteria","pirivibrionia","tranaerophilales"
"667c7ff5d8981b1c1eb8efc23b295ca2","S00PP-0027",182,"teria","micutes","ativicutes","daminococcales"
"3ab61ffb86b753b43f425d630a87e7a1","S00PP-0027",181,"teria","nobacteria","pirivibrionia","tranaerophilales"
"30d87e91be256a2b5f96b636ef04cda2","S00PP-0025",173,"teria","micutes","stridia","tostreptococcales-Tissierellales"
"fe1644129eb6fb34078f939c04915813","S00PP-0020",173,"teria","teobacteria","haproteobacteria","dospirillales"
"218d7fe9eb2b82133c504cb4c7ab8076","S00PP-0018",169,"teria","micutes","stridia","stridia_UCG-014"
"2717c55a33435a4cf9c4953837bac9f4","S00PP-0012",165,"teria","micutes","stridia","stridia_vadinBB60_group"
"fe1644129eb6fb34078f939c04915813","S00PP-0018",165,"teria","teobacteria","haproteobacteria","dospirillales"
"032fc3717d8136fccddb555b0aa201a3","S00PP-0008",164,"teria","micutes","stridia","oglobales"
"667c7ff5d8981b1c1eb8efc23b295ca2","S00PP-0006",163,"teria","micutes","ativicutes","daminococcales"
"2717c55a33435a4cf9c4953837bac9f4","S00PP-0007",162,"teria","micutes","stridia","stridia_vadinBB60_group"
"9aa3baf0e1ca0d9f7c5b119e42c52153","S00PP-0025",161,"teria","pilobacterota","pylobacteria","pylobacterales"
"667c7ff5d8981b1c1eb8efc23b295ca2","S00PP-0018",160,"teria","micutes","ativicutes","daminococcales"
"4f75b2e18a41280d3a51b71dfd217114","S00PP-0020",159,"teria","micutes","illi","9"
"c1f83bd0eac0f5b9b6bb409c55d831e0","S00PP-0001",157,"teria","teobacteria","maproteobacteria","kholderiales"
"30d87e91be256a2b5f96b636ef04cda2","S00PP-0021",155,"teria","micutes","stridia","tostreptococcales-Tissierellales"
"bd5234b0aaa60ba523cb74655725193c","S00PP-0024",155,"teria","teobacteria","maproteobacteria","omonadales"
"f0b52d5da8a6dfae05a2c3125f970408","S00PP-0005",154,"teria","micutes","ativicutes","llonellales-Selenomonadales"
"fe1644129eb6fb34078f939c04915813","S00PP-0026",154,"teria","teobacteria","haproteobacteria","dospirillales"
"218d7fe9eb2b82133c504cb4c7ab8076","S00PP-0028",152,"teria","micutes","stridia","stridia_UCG-014"
"efe7cb6441176642e881f2abe0b4566f","S00PP-0007",152,"teria","micutes","illi","sipelotrichales"
"8bd14caf6a3b2664d15ef6c5d7a23eef","S00PP-0019",150,"teria","ulfobacterota","ulfovibrionia","ulfovibrionales"
"30d87e91be256a2b5f96b636ef04cda2","S00PP-0022",148,"teria","micutes","stridia","tostreptococcales-Tissierellales"
"218d7fe9eb2b82133c504cb4c7ab8076","S00PP-0011",147,"teria","micutes","stridia","stridia_UCG-014"
"3ab61ffb86b753b43f425d630a87e7a1","S00PP-0019",144,"teria","nobacteria","pirivibrionia","tranaerophilales"
"abdbe368fbd4c7c608e05ef71713340a","S00PP-0010",144,"teria","micutes","stridia","hnospirales"
"efe7cb6441176642e881f2abe0b4566f","S00PP-0004",144,"teria","micutes","illi","sipelotrichales"
"777bf3ba74100b7a4dbd872959a84eeb","S00PP-0026",141,"haea","yarchaeota","hanobacteria","hanobacteriales"
"efe7cb6441176642e881f2abe0b4566f","S00PP-0025",135,"teria","micutes","illi","sipelotrichales"
"c1f83bd0eac0f5b9b6bb409c55d831e0","S00PP-0019",132,"teria","teobacteria","maproteobacteria","kholderiales"
"183d7a6a20b38695342d58bce245f3be","S00PP-0017",131,"teria","rochaetota","rochaetia","rochaetales"
"3ab61ffb86b753b43f425d630a87e7a1","S00PP-0024",130,"teria","nobacteria","pirivibrionia","tranaerophilales"
"fe1644129eb6fb34078f939c04915813","S00PP-0013",128,"teria","teobacteria","haproteobacteria","dospirillales"
"4f75b2e18a41280d3a51b71dfd217114","S00PP-0024",127,"teria","micutes","illi","9"
