"OTU","Sample","Abundance","Kingdom","Phylum"
"ef26904830b91caa86a460c041c77fd4","S00PP-0005",7,"teria","rucomicrobiota"
"0ed4ba32ebfb689312a43dd1d7ed8184","S00PP-0008",6,"teria","escibacteria"
"36b0b251d44111826aa72760204004f9","S00PP-0018",6,"teria","erribacterota"
"54990f8a1d19297ca852c5f1a8077299","S00PP-0020",6,"teria","inobacteriota"
"ef26904830b91caa86a460c041c77fd4","S00PP-0003",6,"teria","rucomicrobiota"
"54990f8a1d19297ca852c5f1a8077299","S00PP-0029",5,"teria","inobacteriota"
"ae71c2e538a51e571a12a1d35ecb3975","S00PP-0021",5,"teria","simicrobiota"
"ef26904830b91caa86a460c041c77fd4","S00PP-0010",5,"teria","rucomicrobiota"
"ef26904830b91caa86a460c041c77fd4","S00PP-0020",5,"teria","rucomicrobiota"
"f50d1d42a442560b41612992aa2a07c3","S00PP-0020",5,"haea","rmoplasmatota"
"f50d1d42a442560b41612992aa2a07c3","S00PP-0022",5,"haea","rmoplasmatota"
"3ab61ffb86b753b43f425d630a87e7a1","S00PP-0012",4,"teria","nobacteria"
"3ab61ffb86b753b43f425d630a87e7a1","S00PP-0025",4,"teria","nobacteria"
"3ab61ffb86b753b43f425d630a87e7a1","S00PP-0016",4,"teria","nobacteria"
"54990f8a1d19297ca852c5f1a8077299","S00PP-0019",4,"teria","inobacteriota"
"54990f8a1d19297ca852c5f1a8077299","S00PP-0008",4,"teria","inobacteriota"
"54990f8a1d19297ca852c5f1a8077299","S00PP-0028",4,"teria","inobacteriota"
"f50d1d42a442560b41612992aa2a07c3","S00PP-0010",4,"haea","rmoplasmatota"
"36b0b251d44111826aa72760204004f9","S00PP-0022",3,"teria","erribacterota"
"54990f8a1d19297ca852c5f1a8077299","S00PP-0024",3,"teria","inobacteriota"
"ef26904830b91caa86a460c041c77fd4","S00PP-0004",3,"teria","rucomicrobiota"
"f50d1d42a442560b41612992aa2a07c3","S00PP-0024",3,"haea","rmoplasmatota"
"f50d1d42a442560b41612992aa2a07c3","S00PP-0015",3,"haea","rmoplasmatota"
"002de19ab0f5022890e5b0d5b70d03e5","S00PP-0020",2,"teria","obacteriota"
"536092e795cffb88b773ce7a825bf36e","S00PP-0001",2,"teria","oroflexi"
"002de19ab0f5022890e5b0d5b70d03e5","S00PP-0017",0,"teria","obacteriota"
"002de19ab0f5022890e5b0d5b70d03e5","S00PP-0002",0,"teria","obacteriota"
"002de19ab0f5022890e5b0d5b70d03e5","S00PP-0008",0,"teria","obacteriota"
"002de19ab0f5022890e5b0d5b70d03e5","S00PP-0016",0,"teria","obacteriota"
"002de19ab0f5022890e5b0d5b70d03e5","S00PP-0005",0,"teria","obacteriota"
"002de19ab0f5022890e5b0d5b70d03e5","S00PP-0015",0,"teria","obacteriota"
"002de19ab0f5022890e5b0d5b70d03e5","S00PP-0001",0,"teria","obacteriota"
"002de19ab0f5022890e5b0d5b70d03e5","S00PP-0006",0,"teria","obacteriota"
"002de19ab0f5022890e5b0d5b70d03e5","S00PP-0023",0,"teria","obacteriota"
"002de19ab0f5022890e5b0d5b70d03e5","S00PP-0028",0,"teria","obacteriota"
"002de19ab0f5022890e5b0d5b70d03e5","S00PP-0018",0,"teria","obacteriota"
